Customer ID,Total Spending,Purchase Frequency,Segment
04960ca9,636.09,1,High Value
077ef3a2,442.26,1,Medium Value
0898a9e8,1757.4,1,VIP
08be9e37,2674.08,1,VIP
090b2a5b,425.58,1,Medium Value
090ca9e8,746.55,1,High Value
09697fdd,1317.87,1,VIP
099640be,1895.92,1,VIP
099b1af7,948.99,1,High Value
0f1f7efc,389.69,1,Medium Value
0fcf71ad,2491.7,1,VIP
10d617fe,790.6,1,High Value
12709191,494.01,1,Medium Value
1302f14c,3406.5,1,VIP
13c2a4b0,2318.88,1,VIP
156abe42,2375.16,1,VIP
1587fd6c,33.06,1,Low Value
1647e13c,1909.75,1,VIP
16728cb8,190.47,1,Medium Value
178a2217,510.2,1,High Value
1aa50820,82.5,1,Low Value
1afcb27c,571.29,1,High Value
1e322643,50.19,1,Low Value
23af94cd,2852.7,1,VIP
25743b59,197.46,1,Medium Value
25a28ece,1156.88,1,VIP
25cd820f,2059.1,1,VIP
26ee90d7,65.74,1,Low Value
27bb06ac,903.52,1,High Value
281e1ae4,853.8000000000001,1,High Value
33bd8fb8,2036.7,1,VIP
355dbf18,3012.4,1,VIP
35c4783b,1259.2,1,VIP
3685d82c,1498.44,1,VIP
37bf8384,1674.0,1,VIP
39314493,100.47,1,Medium Value
3bc6eb0a,1622.22,1,VIP
3be0045a,1522.08,1,VIP
3c17e2a7,1220.24,1,VIP
3c2c0e96,150.14,1,Medium Value
3c99c069,1016.2,1,VIP
3cc2397b,92.83,1,Low Value
3d105890,1049.64,1,VIP
3f4a2a77,470.41,1,Medium Value
41cb7193,460.0,1,Medium Value
431cc378,1823.64,1,VIP
43cc754d,3850.24,1,VIP
46308985,1161.24,1,VIP
4744e070,748.58,1,High Value
478e6544,256.95000000000005,1,Medium Value
47eb8795,1421.67,1,VIP
482a47d3,275.08,1,Medium Value
48864494,188.47,1,Medium Value
48c66208,422.91,1,Medium Value
4b3777e3,115.64,1,Medium Value
4b549448,680.9399999999999,1,High Value
4c72886e,179.91,1,Medium Value
4cd5fcae,1300.68,1,VIP
4db58ba0,3452.19,1,VIP
4de4151c,164.57999999999998,1,Medium Value
501cd884,1956.15,1,VIP
50e665d0,1901.12,1,VIP
51232a78,1286.88,1,VIP
5250041d,1213.56,1,VIP
525770f3,815.3,1,High Value
5317492a,2777.81,1,VIP
556a7088,3804.4,1,VIP
560d76d0,84.96,1,Low Value
56ff1ec4,360.24,1,Medium Value
57b07945,2484.6000000000004,1,VIP
57b65e97,2609.76,1,VIP
5952ed00,1499.58,1,VIP
59c810cf,1172.65,1,VIP
5a00ad38,75.78,1,Low Value
5c1af733,2261.0,1,VIP
5c27cb85,1854.72,1,VIP
5c9367d9,646.86,1,High Value
5d8f4e69,1788.48,1,VIP
5de46727,686.18,1,High Value
